wavenumber,intensity
2328.0,0.017518349
2330.0,0.00996609218
2332.0,0.00831530895
2334.0,0.0146248462
2336.0,0.022882212
2338.0,0.0240147337
2340.0,0.0168156326
2342.0,0.0237824209
2344.0,0.0253350865
2346.0,0.0228943564
2348.0,0.0209589489
2350.0,0.0296588466
2352.0,0.0367347226
2354.0,0.0373816527
2356.0,0.0325594246
2358.0,0.0379090831
2360.0,0.0347549878
2362.0,0.016989531
2364.0,0.00123096863
2366.0,0.0033172546
2368.0,0.01650903
2370.0,0.0234681275
2372.0,0.0201703981
2374.0,0.03257256
2376.0,0.0498431325
2378.0,0.0554294586
2380.0,0.0466067493
2382.0,0.0354741812
2384.0,0.0236523524
2386.0,0.0198598243
2388.0,0.0151253855
2390.0,0.0121604325
2392.0,0.00892289169
2394.0,0.0143011604
2396.0,0.0276545677
2398.0,0.0431601182
2400.0,0.0415925272
2402.0,0.0254851058
2404.0,0.00957519095
2406.0,0.00873412937
2408.0,0.0101255821
2410.0,0.0136649273
2412.0,0.0153008457
2414.0,0.0152654732
2416.0,0.00858593173
2418.0,0.0110187214
2420.0,0.0239992067
2422.0,0.0410057008
2424.0,0.0421054885
2426.0,0.0305178147
2428.0,0.0156610943
2430.0,0.00941013824
2432.0,0.0126901502
2434.0,0.020429654
2436.0,0.0271035135
2438.0,0.0353038684
2440.0,0.0308099631
2442.0,0.0223189816
2444.0,0.0158484038
2446.0,0.0118561536
2448.0,0.02315134
2450.0,0.0433998927
2452.0,0.0551458895
2454.0,0.0554363206
2456.0,0.0419800878
2458.0,0.0311893728
2460.0,0.0192132816
2462.0,0.0160142593
2464.0,0.0202252008
2466.0,0.0311068408
2468.0,0.0389390886
2470.0,0.0217418652
2472.0,0.0127968993
2474.0,0.0216336641
2476.0,0.0297787711
2478.0,0.0289337747
2480.0,0.0186948851
2482.0,0.0120464573
2484.0,0.0355464555
2486.0,0.0593893528
2488.0,0.0570411459
2490.0,0.0416610353
2492.0,0.0320644155
2494.0,0.0227103233
2496.0,0.0281081758
2498.0,0.0293582641
2500.0,0.01843426
2502.0,0.0278662406
2504.0,0.03191223
2506.0,0.0299773943
2508.0,0.0281154439
2510.0,0.023093868
2512.0,0.0221082903
2514.0,0.0288720801
2516.0,0.0220911466
2518.0,0.0240607709
2520.0,0.0266457982
2522.0,0.0510042422
2524.0,0.0521098897
2526.0,0.0368017778
2528.0,0.0237763543
2530.0,0.0250468086
2532.0,0.0333062783
2534.0,0.0485509261
2536.0,0.0526822507
2538.0,0.0588281639
2540.0,0.0759599432
2542.0,0.0852671191
2544.0,0.0760947168
2546.0,0.0684398785
2548.0,0.0753504336
2550.0,0.0811922699
2552.0,0.0978819579
2554.0,0.072019577
2556.0,0.036365889
2558.0,0.0562331453
2560.0,0.0873776227
2562.0,0.100123644
2564.0,0.0780997127
2566.0,0.0399294496
2568.0,0.0373671241
2570.0,0.0713500828
2572.0,0.116860077
2574.0,0.162167549
2576.0,0.145531759
2578.0,0.0735044926
2580.0,0.0320794955
2582.0,0.0365032516
2584.0,-9.51439119e-07
